a,b,c,d
205,-14,918,57
792,98,494,202
59,-88,-47,257
487,788,819,631
128,512,314,-65
772,731,601,94
208,608,59,700
354,348,-28,883
64,315,125,449
-15,396,808,470
944,352,207,309
973,749,835,131
660,103,4,698
335,-74,425,946
-8,351,338,135
490,563,154,958
434,291,135,264
668,640,795,-89
646,696,78,953
314,887,711,860
721,434,325,742
-67,441,504,743
821,228,481,516
862,744,956,762
849,-9,596,621
231,-26,486,565
735,891,965,375
-79,803,357,20
457,411,563,491
957,811,955,369
596,65,190,619
304,456,755,461
650,683,306,488
565,507,601,105
377,187,720,506
4,-41,670,639
953,360,793,223
419,262,441,93
828,500,850,743
795,240,910,275
772,290,182,22
697,340,621,897
349,760,-66,520
892,958,102,977
127,558,307,433
770,955,231,946
258,630,400,383
146,353,685,221
549,385,995,163
37,738,550,312
557,491,24,9
983,542,0,944
-4,505,-93,405
710,404,623,763
323,46,488,542
779,503,238,296
562,904,447,974
730,-19,366,952
962,215,686,244
801,384,654,19
384,93,-12,814
300,471,764,-22
64,94,825,898
382,935,480,472
13,769,-55,758
674,726,-59,690
276,707,24,960
-55,847,647,918
669,265,656,32
891,706,917,63
819,605,83,15
601,-78,43,375
549,773,364,16
124,913,271,898
63,423,257,685
513,370,875,586
210,702,902,960
988,285,262,866
-38,992,162,-7
754,792,344,537
9,356,407,271
753,708,693,329
952,0,504,462
128,446,387,-48
419,938,877,313
-27,407,244,985
665,53,-95,614
445,472,820,245
931,501,925,88
364,877,894,129
846,821,634,202
188,451,497,856
16,27,902,539
390,2,680,621
710,808,434,468
734,750,316,127
722,690,286,973
848,389,656,483
125,272,489,420
699,622,148,777
34,250,565,-74
304,4,393,522
494,353,974,827
-74,187,414,869
397,484,-18,-58
140,635,674,242
774,704,788,568
354,-26,676,412
216,43,588,39
254,807,907,733
973,308,754,689
149,407,920,334
144,277,528,634
854,703,781,674
964,938,127,36
415,233,178,722
-10,332,532,970
604,955,812,44
948,143,55,986
-18,578,854,914
762,760,765,349
714,710,500,756
641,417,883,683
693,407,442,713
165,780,270,929
679,129,365,592
-35,3,324,18
183,177,262,-46
-4,245,889,-21
566,387,891,631
127,770,844,77
628,-43,-23,203
879,672,153,664
-41,824,698,531
232,741,-17,23
-27,-8,92,835
460,529,-7,519
-60,321,-32,42
584,-86,405,670
168,971,782,370
451,642,631,-14
-51,-9,726,515
918,738,-15,794
75,788,588,352
716,491,365,58
460,349,141,650
570,812,546,604
870,333,931,675
829,27,372,993
322,754,750,571
105,685,656,510
-38,-32,680,947
900,-46,429,523
906,55,-70,525
358,-83,-6,787
464,287,250,185
790,27,870,643
684,213,-45,-74
525,958,723,272
-70,690,447,496
765,475,994,311
597,646,680,976
618,783,642,-72
908,266,440,318
849,87,486,85
521,-64,721,438
45,922,500,337
114,-82,843,436
651,117,472,634
738,322,652,484
109,212,442,667
184,54,88,903
573,244,372,587
-76,202,479,279
86,487,118,259
793,202,333,82
702,409,230,306
733,778,849,734
112,929,3,801
810,622,32,833
474,979,638,108
10,827,58,907
98,532,973,683
577,353,558,148
436,762,304,431
-11,102,984,756
120,736,609,191
973,38,436,358
-71,-6,258,117
656,14,511,-28
93,894,-49,199
633,421,577,946
467,494,92,586
275,527,-62,975
885,-82,990,823
699,451,453,-82
654,340,637,948
718,472,648,326
33,637,253,201
528,507,680,782
